abandon   v.抛弃，放弃
abandonment   n.放弃
abbreviation   n.缩写
abeyance   n.缓办，中止
abide   v.遵守
ability   n.能力
able   adj.有能力的，能干的
abnormal   adj.反常的，变态的
aboard   adv.船(车)上
abolish   v.废除，取消
abolition   n.废除，取消
abortion   n.流产
abortive   adj.无效果的，失败的
about   prep.关于，大约
above   prep.在...之上，高于
above-mentioned   adj.上述的
abreast   adv.并肩，并列
abridge   v.省略，摘要
abroad   adv.国外，海外
abrogate   v.取消，废除
abrogation   n.取消，废除
abrupt   adj.突然的，生硬的
abruptly   adv.突然地
absence   n.缺席，缺乏
absent   adj.缺席的，不存在
absent-minded   adj.心不在焉的
absolute   adj.完全的，绝对的
absolutely   adv.绝对，完全
absorb   v.吸收，专心于
absorption   n.吸收，专注
abstract   adj.抽象的，难懂的
abstraction   n.抽象，提取
absurd   adj.荒唐的
absurdity   n.荒唐(事)
abundance   n.丰富，大量
abundant   adj.丰富的，充裕的
abuse   v.滥用，谩骂
abasement   n.滥用
academic   adj.学院的，学术的
academy   n.学院，研究院
accede   v.同意
accelerate   v.加速，加快
acceleration   v.加速，促进
accent   n.腔调 v.重读
accept   v.接受，同意
acceptable   adj.可接受的，合意的
acceptance   n.接受，承兑
access   n.接近，入口
accessible   adj.可接近的
accessory   n.附件，装饰品
accident   n.事故，意外之事
accidental   adj.意外的，偶然的
accidentally   adv.偶尔，附带
accommodate   v.提供便利，拆借
accommodation   n.便利，通融
accompaniment   n.伴侣，伴奏
accompany   v.伴随，伴奏
accomplish   v.完成，达到
accomplishment   n.成就
accord   v.符合，协调
accordance   n.按照，与...一致
according   adj.按照，据...说
accordingly   adj.相应地，从而
account   n.账目 v.说明
accountant   n.会计(师)
accounting   n.会计学
accrue   v.产生，发生
accrued   adj.增值的，应计的
accumulate   v.积累，积蓄
accumulation   n.积累
accumulative   adj.积累的
accuracy   n.准确(性)
accurate   adj.准确的，精密的
accurately   adj.准确地
accusation   n.控告
accuse   v.告发，指责
accustom   v.使...习惯于
ache   v.觉得疼 n.疼痛
aching   adj.疼痛的
achieve   v.完成，实现
achievement   n.完成，成就
acid   n.酸
acknowledge   v.承认，鸣谢
acknowledgment   n.承认，鸣谢，回执
acquaint   n.使熟悉，相识
acquaintance   n.熟悉人，相识
acquaintant   adj.熟悉的
acquire   v.求得，获得
acquisition   n.获得
acre   n.英亩
acrobat   n.杂技演员
acrobatics   n.杂技
across   prep.横越 adv.横穿
act   n.行为，法令 v.表演
action   n.行为，行动
activate   v.使活跃，开动
active   adj.活跃的，积极的
actively   adv.积极地，活跃地
activity   n.活动
actor   n.男演员
actress   n.女演员
actual   adj.现实的，实际的
actuality   n.实际
actually   adv.实际上，居然
acute   adj.剧烈的，敏锐的
a.d.   (缩)公元
ad   n.(缩)广告
adapt   v.使适应，改编
adaptation   n.适应
add   v.增添，加，补充
addition   n.增加，附加物
additional   adj.增加的，附加的
additive   adj.附加的 n.添加剂
address   n.地址 v.致词
adequate   adj.足够的，恰当的
adequately   adv.恰当地
adhere   v.粘附，坚持
adhesive   n.粘合剂
adjacent   adj.邻近的
adjective   n.形容词
