admit   v.承认，接纳
admittedly   adv.明白地
adolescence   n.青春期
adolescent   adj.青春期的
adopt   v.采用，采纳
adoption   n.采用
adore   v.崇拜，敬慕
adorn   v.装饰，佩带
adornment   n.装饰(品)
adult   n.成年人 adj.成年的
advance   n.,v.前进
advanced   adj.先进的，发达的
advantage   n.优点，优势
advantageous   adj.有利的，有用的
adventure   n.冒险，惊险活动
adventurous   adj.冒险的
adverb   n.副词
adverbial   adj.副词的
adversary   adj.敌手，对手
adverse   v.逆的，相反的
adversity   n.逆境，不幸
advertise   v.登广告，推销
advertising   adj.广告的
advertisement   n.广告
advice   n.忠告，意见
advisable   adj.适当的，可行的
advise   v.劝告，通知
adviser   n.顾问
advocate   v.拥护，提倡
aerial   adj.天空的，航空的
aeroplane   n.飞机
affair   n.事件，事情
affect   v.影响，改变
affection   n.友爱，爱慕
affectionate   adj.充满感情的
affiliate   n.分号(公司)
affirm   v.断言，肯定
affirmation   n.确定，确认
affirmative   adj.肯定的
afford   v.买得起，经受得起
affordable   adj.买得起的
afloat   adj.航行中的
aforesaid   adj.上述的
afraid   adj.害怕的，恐怕
africa   n.非洲
african   adj.非洲的 n.非洲人
after   prep.在...后
afternoon   n.下午
afterward   adv.后来
again   adv.再，又
against   prep.反对，对着
age   n.年龄，时代
agency   n.代理，代理处
agent   n.代理人，试剂
aggravate   v.加重，恶化
aggravation   n.加重，恶化
aggregate   v.,n.,adj.合计(的)
aggregation   n.总计，集合
aggression   n.侵略
aggressive   adj.侵略的，进取的
aggressor   n.侵略者
agitate   v.鼓动
agitation   n.鼓动，不安
ago   adv....以前
agonize   v.使痛苦
agony   n.苦恼，痛苦
agree   v.同意，一致认为
agreeable   adj.惬意的，易相处的
agreeably   adv.欣然，依照
agreed   adj.商定的
agreement   n.一致，协议
agricultural   adj.农业的
agriculture   n.农业
ahead   adv.在...前
aid   n.,v.援助，救护
aids   n.(缩)艾滋病
ailment   n.疾病
aim   n.目的 v.旨在，指向
aimless   adj.无目的的
air   n.空气，气派
aircraft   n.航空器
airline   n.航线，航空公司
airliner   n.定期航班
airmail   n.航空邮件
airplane   n.飞机
airport   n.机场
airway   n.航线
aisle   n.过道，走廊
ajar   adv.半开的
alarm   n.惊慌，警报
alarming   adj.警告的
alas   int.唉，哎呀
album   n.相册，地图册
alcohol   n.酒精
alcoholic   adj.含酒精的
alcoholism   n.嗜酒者，酒鬼
ale   n.淡啤酒
alert   adj.警惕的，灵活的
algebra   n.代数
alien   adj.异国的，异样的
alienate   v.疏远，转让，挪用
alienation   n.异化
alignment   n.对准，准线
alike   adj.相象的
alive   adj.活着的，有生命的
all   adj.所有的 n.一切
allergic   adj.过敏的，变态的
allergy   n.反感，过敏
alliance   n.联合，同盟
allied   adj.同盟的
allocate   v.分配
allocation   n.分配
allot   v.分配，配给
allotment   n.分配，份额
allow   v.允许，许可
allowance   n.补助，津贴
alloy   n.合金
ally   n.同盟者 v.结盟
almost   adv.几乎，差不多
alone   adj.单独的，仅仅
along   prep.沿着 adv.一起
alongside   prep.在...旁边
aloud   adv.大声地
alphabet   n.字母表
also   adv.也
alter   v.改变，变动
alternate   v.轮流，交替
alternation   n.改变，变更
alternative   n.,v.两者取一
although   conj.虽然
altitude   n.高度
altogether   adv.全部地，总共
aluminum   n.铝
always   adv.总是，始终
a.m.   (缩)上午
amateur   adj.业余的
wireless   adj.,n.无线电
wisdom   n.智慧，明智
wise   adj.智慧的，博学的
wish   v.希望，祝愿，想要
wit   n.机智，才智
with   prep.同...一起，用
withdraw   v.撤消，退出，提款
withdrawal   n.撤退，取款
wither   v.枯萎，凋谢，衰弱
withhold   v.坚持
within   prep.,adv.在...内
without   prep.没有，在...外部
withstand   v.抵挡，顶住
witness   n.目击者,证人 v.目睹
witty   adj.机智的，风趣的
woe   n.悲痛，苦恼
wolf   n.狼
woman   n.妇女，女人
wonder   v.想知道,诧异 n.奇迹
wonderful   adj.奇妙的，精彩的
wood   n.木，木材
wooden   adj.木制的
woodpecker   n.啄木鸟
woods   n.树林
wool   n.羊毛，毛线
woollen   adj.羊毛的，毛织的
word   n.字，词，诺言，音讯
wording   n.措辞
wordy   adj.冗长的，罗嗦的
work   n.劳动，工作，作品
workable   adj.可行的，起作用的
worker   n.工人
workman   n.工作者
workmanship   n.工艺，手艺
works   n.工厂
workshop   n.车间，工场，学习班
world   n.世界，...界，世间
worldwide   adj.,adv.全世界的
worm   n.蠕虫，幼虫
worry   v.,v.烦恼，担心
worse   adj.更坏的，更差的
worship   v.,n.崇拜，礼拜
worst   adj.最坏的，最差的
worth   n.价值 adj.值...的
worthless   adj.不值钱的
worthwhile   adj.值得做的
worthy   adj.值得的，配...的
wound   v.受伤 n.伤口，创伤
wounded   adj.受伤的 n.伤员
wrap   v.包，裹
wrapper   n.(饺子)皮，包装用品
wrath   n.暴怒
wreath   n.花圈，花环
wreck   v.毁坏 n.失事
wrench   v.拧，扭伤 n.扳手
wrestle   v.,n.摔交，搏斗
wretched   adj.可怜的，可耻的
wring   v.拧，扭
wrinkle   n.皱纹 v.折皱
wrist   n.腕
write   v.写，写信，写作
writer   n.作者，作家
writing   n.写作
written   adj.写作的，书面的
wrong   adj.错误的，有毛病的
wrongly   adv.错误地，不正当地
xerox   n.,v.复印
x-ray   n.X射线 v.X光检查
yacht   n.游船，快艇
yard   n.码，庭院，场
yawn   v.,n.打呵欠
year   n.年，年度
yearly   adj.,adv.每年的
yearn   v.向往
yeast   n.酵母
yell   v.,n.叫嚷
yellow   n.,adj.黄色(的)
yes   adv.是，好
yesterday   n.昨天 adv.在昨天
yet   adv.仍然，还，尚
yield   v.生产，屈服 n.产量
yoke   n.轭
yolk   n.蛋黄
you   pron.你，你们
young   adj.年轻的 n.青年人
youngster   n.少年
your   pron.你的，你们的
yourself   pron.你(们)自己
youth   n.青春，青年
youthful   adj.年轻的
zeal   n.热情，热忱
zealous   adj.热情的，热心的
zebra   n.斑马
zero   n.零，零度
zinc   n.锌
zip   n.活动，尖啸声
zipcode   n.邮政编码
zipper   n.拉链
zone   n.地带，区域，区
zoo   n.动物园
zoology   n.动物学   
